Agargaon,2026,5,4,18,1.5
Airport,2026,5,4,18,1.0
Badda,2026,5,4,18,1.0
Banani,2026,5,4,18,1.5
Bangshal,2026,5,4,18,1.0
Baridhara,2026,5,4,18,1.0
Bashundhara,2026,5,4,18,1.5
Bijoynagar,2026,5,4,18,1.0
Chawk Bazar,2026,5,4,18,1.0
DOHS Mohakhali,2026,5,4,18,1.0
Demra,2026,5,4,18,1.0
Dhanmondi,2026,5,4,18,1.5
Elephant Road,2026,5,4,18,1.0
Eskaton,2026,5,4,18,1.0
Farmgate,2026,5,4,18,1.0
Gabtoli,2026,5,4,18,1.0
Green Road,2026,5,4,18,1.0
Gulshan-1,2026,5,4,18,1.5
Gulshan-2,2026,5,4,18,1.0
Hatirpool,2026,5,4,18,1.0
Hazaribagh,2026,5,4,18,1.5
Islampur,2026,5,4,18,1.0
Jatrabari,2026,5,4,18,1.0
Kakrail,2026,5,4,18,1.0
Kallyanpur,2026,5,4,18,1.0
Kamalapur,2026,5,4,18,1.5
Karwan Bazar,2026,5,4,18,1.0
Kazipara,2026,5,4,18,1.0
Keraniganj,2026,5,4,18,1.5
Khilkhet,2026,5,4,18,1.0
Kuril,2026,5,4,18,1.0
Lalbagh,2026,5,4,18,1.0
Malibagh,2026,5,4,18,1.0
Mirpur-1,2026,5,4,18,1.0
Mirpur-10,2026,5,4,18,1.0
Mirpur-12,2026,5,4,18,1.0
Moghbazar,2026,5,4,18,1.0
Mohammadpur,2026,5,4,18,1.0
Mohakhali,2026,5,4,18,1.5
Motijheel,2026,5,4,18,1.5
Nakhalpara,2026,5,4,18,1.0
New Market,2026,5,4,18,1.0
Nikunja,2026,5,4,18,1.0
Pallabi,2026,5,4,18,1.0
Paltan,2026,5,4,18,1.5
Panthapath,2026,5,4,18,1.0
Postogola,2026,5,4,18,1.0
Ramna,2026,5,4,18,1.5
Rampura,2026,5,4,18,1.0
Sadarghat,2026,5,4,18,1.5
Science Lab,2026,5,4,18,1.0
Shahbagh,2026,5,4,18,1.0
Shewrapara,2026,5,4,18,1.0
Shyampur,2026,5,4,18,1.0
Sutrapur,2026,5,4,18,1.0
Tejgaon,2026,5,4,18,1.0
Uttara-1,2026,5,4,18,1.0
Uttara-3,2026,5,4,18,1.0
Uttara-7,2026,5,4,18,1.0
Wari,2026,5,4,18,1.0
